",""0,00001 "",""0,00005 "",""0,0001 "",""0,0005 "",""0,001"",""0,002"",""0,003"",""0,004"",""0,005"",0.006,"
"51,""26,7869"",""28,7055"",""29,6313 "",""32,0937 "",""33,3316 "",""34,7162 "",""35,6114 "",""36,2930 "",""36,8523 "",""37,3315 "",51"
"52,""27,5115"",""29,4594"",""30,3991 "",""32,8976 "",""34,1533 "",""35,5578 "",""36,4659 "",""37,1572 "",""37,7245 "",""38,2106 "",52"
"53,""28,2389"",""30,2158"",""31,1693 "",""33,7036 "",""34,9771 "",""36,4013 "",""37,3221 "",""38,0231 "",""38,5983 "",""39,0912 "",53"
"54,""28,9689"",""30,9748"",""31,9418 "",""34,5117 "",""35,8028 "",""37,2466 "",""38,1800 "",""38,8906 "",""39,4737 "",""39,9734 "",54"
"55,""29,7017"",""31,7361"",""32,7166 "",""35,3218 "",""36,6305 "",""38,0936 "",""39,0396 "",""39,7597 "",""40,3506 "",""40,8570 "",55"
"56,""30,4370"",""32,4997"",""33,4937 "",""36,1339 "",""37,4599 "",""38,9424 "",""39,9007 "",""40,6303 "",""41,2290 "",""41,7421 "",56"
"57,""31,1747"",""33,2657"",""34,2730 "",""36,9479 "",""38,2911 "",""39,7927 "",""40,7634 "",""41,5024 "",""42,1089 "",""42,6286 "",57"
"58,""31,9149"",""34,0338"",""35,0543 "",""37,7638 "",""39,1241 "",""40,6447 "",""41,6276 "",""42,3760 "",""42,9901 "",""43,5164 "",58"
"59,""32,6575"",""34,8041"",""35,8377 "",""38,5815 "",""39,9587 "",""41,4982 "",""42,4933 "",""43,2510 "",""43,8727 "",""44,4055 "",59"
"60,""33,4024"",""35,5765"",""36,6232 "",""39,4009 "",""40,7950 "",""42,3532 "",""43,3604 "",""44,1273 "",""44,7566 "",""45,2960 "",60"
"61,""34,1495"",""36,3510"",""37,4105 "",""40,2220 "",""41,6328 "",""43,2097 "",""44,2290 "",""45,0050 "",""45,6418 "",""46,1876 "",61"
"62,""34,8988"",""37,1274"",""38,1998 "",""41,0449 "",""42,4723 "",""44,0676 "",""45,0988 "",""45,8840 "",""46,5283 "",""47,0805 "",62"
"63,""35,6502"",""37,9058"",""38,9910 "",""41,8693 "",""43,3132 "",""44,9270 "",""45,9700 "",""46,7642 "",""47,4160 "",""47,9746 "",63"
"64,""36,4038"",""38,6861"",""39,7839 "",""42,6953 "",""44,1557 "",""45,7876 "",""46,8425 "",""47,6457 "",""48,3049 "",""48,8698 "",64"
"65,""37,1593"",""39,4683"",""40,5787 "",""43,5229 "",""44,9995 "",""46,6497 "",""47,7163 "",""48,5284 "",""49,1949 "",""49,7662 "",65"
"66,""37,9169"",""40,2522"",""41,3751 "",""44,3520 "",""45,8448 "",""47,5130 "",""48,5912 "",""49,4122 "",""50,0861 "",""50,6636 "",66"
"67,""38,6764"",""41,0380"",""42,1733 "",""45,1826 "",""46,6915 "",""48,3776 "",""49,4674 "",""50,2972 "",""50,9783 "",""51,5621 "",67"
"68,""39,4378"",""41,8254"",""42,9731 "",""46,0146 "",""47,5395 "",""49,2434 "",""50,3447 "",""51,1834 "",""51,8717 "",""52,4617 "",68"
"69,""40,2011"",""42,6146"",""43,7745 "",""46,8481 "",""48,3888 "",""50,1104 "",""51,2232 "",""52,0706 "",""52,7661 "",""53,3623 "",69"
"70,""40,9662"",""43,4054"",""44,5775 "",""47,6829 "",""49,2394 "",""50,9786 "",""52,1028 "",""52,9589 "",""53,6615 "",""54,2638 "",70"
"71,""41,7331"",""44,1979"",""45,3820 "",""48,5190 "",""50,0913 "",""51,8480 "",""52,9835 "",""53,8482 "",""54,5579 "",""55,1664 "",71"
"72,""42,5017"",""44,9919"",""46,1881 "",""49,3565 "",""50,9444 "",""52,7185 "",""53,8653 "",""54,7385 "",""55,4554 "",""56,0699 "",72"
"73,""43,2720"",""45,7875"",""46,9956 "",""50,1953 "",""51,7987 "",""53,5901 "",""54,7480 "",""55,6299 "",""56,3537 "",""56,9743 "",73"
"74,""44,0440"",""46,5845"",""47,8046 "",""51,0354 "",""52,6542 "",""54,4628 "",""55,6319 "",""56,5222 "",""57,2530 "",""57,8796 "",74"
"75,""44,8176"",""47,3831"",""48,6150 "",""51,8766 "",""53,5108 "",""55,3365 "",""56,5167 "",""57,4154 "",""58,1533 "",""58,7859 "",75"
"76,""45,5928"",""48,1832"",""49,4268 "",""52,7191 "",""54,3685 "",""56,2113 "",""57,4025 "",""58,3097 "",""59,0544 "",""59,6930 "",76"
"77,""46,3696"",""48,9846"",""50,2399 "",""53,5628 "",""55,2274 "",""57,0871 "",""58,2892 "",""59,2048 "",""59,9564 "",""60,6009 "",77"
"78,""47,1479"",""49,7875"",""51,0544 "",""54,4076 "",""56,0873 "",""57,9638 "",""59,1769 "",""60,1008 "",""60,8593 "",""61,5097 "",78"
