1.000000,0.988717,0.977435,0.966159,0.954889,0.943628,0.932378,0.921142,0.909922,0.898719
0.887537,0.876377,0.865242,0.854133,0.843053,0.832004,0.820988,0.810008,0.799064,0.788160
0.777297,0.766478,0.755704,0.744977,0.734300,0.723674,0.713100,0.702582,0.692120,0.681717
0.671373,0.661092,0.650874,0.640721,0.630635,0.620618,0.610670,0.600794,0.590991,0.581261
0.571608,0.562031,0.552532,0.543113,0.533775,0.524518,0.515345,0.506255,0.497250,0.488332
0.479500,0.470756,0.462101,0.453536,0.445061,0.436677,0.428384,0.420184,0.412077,0.404064
0.396144,0.388319,0.380589,0.372954,0.365414,0.357971,0.350623,0.343372,0.336218,0.329160
0.322199,0.315334,0.308567,0.301896,0.295322,0.288844,0.282463,0.276178,0.269990,0.263897
0.257899,0.251997,0.246189,0.240476,0.234857,0.229332,0.223900,0.218560,0.213313,0.208157
0.203092,0.198117,0.193232,0.188436,0.183729,0.179109,0.174576,0.170130,0.165768,0.161492
0.157299,0.153190,0.149162,0.145216,0.141350,0.137564,0.133856,0.130227,0.126674,0.123197
0.119795,0.116467,0.113212,0.110029,0.106918,0.103876,0.100904,0.098000,0.095163,0.092392
0.089686,0.087044,0.084466,0.081950,0.079495,0.077100,0.074764,0.072486,0.070266,0.068101
0.065992,0.063937,0.061935,0.059985,0.058086,0.056238,0.054439,0.052688,0.050984,0.049327
0.047715,0.046148,0.044624,0.043143,0.041703,0.040305,0.038946,0.037627,0.036346,0.035102
0.033895,0.032723,0.031587,0.030484,0.029414,0.028377,0.027372,0.026397,0.025453,0.024538
0.023652,0.022793,0.021962,0.021157,0.020378,0.019624,0.018895,0.018190,0.017507,0.016847
0.016210,0.015593,0.014997,0.014422,0.013865,0.013328,0.012810,0.012309,0.011826,0.011359
0.010909,0.010475,0.010057,0.009653,0.009264,0.008889,0.008528,0.008179,0.007844,0.007521
0.007210,0.006910,0.006622,0.006344,0.006077,0.005821,0.005574,0.005336,0.005108,0.004889
0.004678,0.004475,0.004281,0.004094,0.003914,0.003742,0.003577,0.003418,0.003266,0.003120
